GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JMusicBot,com.jagrosh.jmusicbot,Listener,190,0,20,0,42,0,19,0,9,0
JMusicBot,com.jagrosh.jmusicbot,JMusicBot,620,0,20,0,67,0,13,0,3,0
JMusicBot,com.jagrosh.jmusicbot,Bot,180,0,16,0,50,0,24,0,16,0
JMusicBot,com.jagrosh.jmusicbot,BotConfig,459,0,28,0,98,0,42,0,28,0
JMusicBot,com.jagrosh.jmusicbot.commands.music,PlayCmd.ResultHandler,561,0,34,0,64,0,27,0,10,0
JMusicBot,com.jagrosh.jmusicbot.commands.music,SearchCmd.ResultHandler,387,0,14,0,41,0,14,0,7,0
JMusicBot,com.jagrosh.jmusicbot.commands.music,NowplayingCmd,63,0,2,0,13,0,4,0,3,0
JMusicBot,com.jagrosh.jmusicbot.commands.music,RemoveCmd,237,0,18,0,44,0,11,0,2,0
JMusicBot,com.jagrosh.jmusicbot.commands.music,SCSearchCmd,20,0,0,0,6,0,1,0,1,0
JMusicBot,com.jagrosh.jmusicbot.commands.music,QueueCmd,284,0,14,0,54,0,13,0,6,0
JMusicBot,com.jagrosh.jmusicbot.commands.music,PlayCmd,254,0,18,0,30,0,12,0,3,0
JMusicBot,com.jagrosh.jmusicbot.commands.music,PlayCmd.PlaylistCmd,222,0,10,0,32,0,11,0,6,0
JMusicBot,com.jagrosh.jmusicbot.commands.music,SearchCmd,113,0,2,0,23,0,4,0,3,0
JMusicBot,com.jagrosh.jmusicbot.commands.music,PlaylistsCmd,131,0,8,0,23,0,7,0,3,0
JMusicBot,com.jagrosh.jmusicbot.commands.music,SkipCmd,236,0,14,0,28,0,11,0,4,0
JMusicBot,com.jagrosh.jmusicbot.commands.music,ShuffleCmd,59,0,3,0,16,0,4,0,2,0
JMusicBot,com.jagrosh.jmusicbot.commands.music,LyricsCmd,205,0,18,0,42,0,12,0,3,0
JMusicBot,com.jagrosh.jmusicbot.settings,Settings,79,105,13,1,17,41,14,10,7,10
JMusicBot,com.jagrosh.jmusicbot.settings,SettingsManager,78,193,10,18,8,38,13,9,3,5
JMusicBot,com.jagrosh.jmusicbot.commands.general,SettingsCmd,206,0,12,0,26,0,9,0,3,0
JMusicBot,com.jagrosh.jmusicbot.entities,Pair,0,15,0,0,0,6,0,3,0,3
JMusicBot,com.jagrosh.jmusicbot.entities,Prompt,166,0,18,0,53,0,17,0,6,0
JMusicBot,com.jagrosh.jmusicbot.entities,Prompt.new Object() {...},26,0,0,0,1,0,1,0,1,0
JMusicBot,com.jagrosh.jmusicbot.entities,Prompt.Level,48,0,0,0,2,0,4,0,4,0
JMusicBot,com.jagrosh.jmusicbot.commands.admin,PrefixCmd,70,0,4,0,16,0,4,0,2,0
JMusicBot,com.jagrosh.jmusicbot.commands.admin,SettcCmd,138,0,8,0,21,0,6,0,2,0
JMusicBot,com.jagrosh.jmusicbot.commands.admin,SetdjCmd,138,0,8,0,21,0,6,0,2,0
JMusicBot,com.jagrosh.jmusicbot.commands.admin,SetvcCmd,138,0,8,0,21,0,6,0,2,0
JMusicBot,com.jagrosh.jmusicbot.commands.dj,PlaynextCmd.ResultHandler,262,0,16,0,32,0,14,0,6,0
JMusicBot,com.jagrosh.jmusicbot.commands.dj,VolumeCmd,110,0,6,0,21,0,5,0,2,0
JMusicBot,com.jagrosh.jmusicbot.commands.dj,ForceskipCmd,74,0,2,0,12,0,3,0,2,0
JMusicBot,com.jagrosh.jmusicbot.commands.dj,RepeatCmd,93,0,14,0,20,0,10,0,3,0
JMusicBot,com.jagrosh.jmusicbot.commands.dj,ForceRemoveCmd,225,0,14,0,45,0,12,0,5,0
JMusicBot,com.jagrosh.jmusicbot.commands.dj,PauseCmd,72,0,2,0,13,0,3,0,2,0
JMusicBot,com.jagrosh.jmusicbot.commands.dj,StopCmd,45,0,0,0,11,0,2,0,2,0
JMusicBot,com.jagrosh.jmusicbot.commands.dj,PlaynextCmd,116,0,10,0,17,0,8,0,3,0
JMusicBot,com.jagrosh.jmusicbot.commands.dj,MoveTrackCmd,154,0,12,0,36,0,9,0,3,0
JMusicBot,com.jagrosh.jmusicbot.commands.dj,SkiptoCmd,115,0,4,0,21,0,4,0,2,0
JMusicBot,com.jagrosh.jmusicbot.audio,PlayerManager,65,0,4,0,18,0,7,0,5,0
JMusicBot,com.jagrosh.jmusicbot.audio,AudioHandler,353,319,45,23,58,53,43,12,12,9
JMusicBot,com.jagrosh.jmusicbot.audio,QueuedTrack,41,14,0,0,4,5,3,2,3,2
JMusicBot,com.jagrosh.jmusicbot.audio,NowplayingHandler,296,38,34,0,57,8,27,3,10,3
JMusicBot,com.jagrosh.jmusicbot.commands.owner,SetgameCmd.SetlistenCmd,88,0,4,0,17,0,4,0,2,0
JMusicBot,com.jagrosh.jmusicbot.commands.owner,ShutdownCmd,29,0,0,0,10,0,2,0,2,0
JMusicBot,com.jagrosh.jmusicbot.commands.owner,SetgameCmd,125,0,6,0,16,0,5,0,2,0
JMusicBot,com.jagrosh.jmusicbot.commands.owner,SetnameCmd,85,0,0,0,16,0,2,0,2,0
JMusicBot,com.jagrosh.jmusicbot.commands.owner,PlaylistCmd.ListCmd,126,0,8,0,20,0,7,0,3,0
JMusicBot,com.jagrosh.jmusicbot.commands.owner,PlaylistCmd.MakelistCmd,96,0,2,0,16,0,3,0,2,0
JMusicBot,com.jagrosh.jmusicbot.commands.owner,PlaylistCmd.AppendlistCmd,189,0,10,0,29,0,8,0,3,0
JMusicBot,com.jagrosh.jmusicbot.commands.owner,SetgameCmd.SetstreamCmd,97,0,2,0,17,0,3,0,2,0
JMusicBot,com.jagrosh.jmusicbot.commands.owner,PlaylistCmd.DeletelistCmd,96,0,2,0,16,0,3,0,2,0
JMusicBot,com.jagrosh.jmusicbot.commands.owner,EvalCmd,90,0,0,0,18,0,2,0,2,0
JMusicBot,com.jagrosh.jmusicbot.commands.owner,SetgameCmd.SetwatchCmd,76,0,2,0,17,0,3,0,2,0
JMusicBot,com.jagrosh.jmusicbot.commands.owner,AutoplaylistCmd,138,0,6,0,23,0,5,0,2,0
JMusicBot,com.jagrosh.jmusicbot.commands.owner,SetstatusCmd,67,0,2,0,16,0,3,0,2,0
JMusicBot,com.jagrosh.jmusicbot.commands.owner,DebugCmd,283,0,6,0,43,0,6,0,3,0
JMusicBot,com.jagrosh.jmusicbot.commands.owner,PlaylistCmd.DefaultlistCmd,24,0,0,0,7,0,1,0,1,0
JMusicBot,com.jagrosh.jmusicbot.commands.owner,SetavatarCmd,124,0,8,0,22,0,8,0,4,0
JMusicBot,com.jagrosh.jmusicbot.commands.owner,PlaylistCmd,132,0,4,0,15,0,4,0,2,0
JMusicBot,com.jagrosh.jmusicbot.utils,OtherUtil,273,113,41,17,44,19,31,9,7,4
JMusicBot,com.jagrosh.jmusicbot.utils,FormatUtil,237,119,27,9,25,19,20,6,4,4
JMusicBot,com.jagrosh.jmusicbot.gui,TextAreaOutputStream,95,0,6,0,25,0,12,0,9,0
JMusicBot,com.jagrosh.jmusicbot.gui,GUI.new WindowListener() {...},21,0,0,0,12,0,8,0,8,0
JMusicBot,com.jagrosh.jmusicbot.gui,TextAreaOutputStream.Appender,146,0,12,0,42,0,14,0,8,0
JMusicBot,com.jagrosh.jmusicbot.gui,GUI,47,0,0,0,14,0,2,0,2,0
JMusicBot,com.jagrosh.jmusicbot.gui,ConsolePanel,53,0,0,0,14,0,1,0,1,0
JMusicBot,com.jagrosh.jmusicbot.playlist,PlaylistLoader.Playlist.new AudioLoadResultHandler() {...},71,168,9,7,9,28,8,9,0,9
JMusicBot,com.jagrosh.jmusicbot.playlist,PlaylistLoader,156,103,19,1,33,15,14,8,4,8
JMusicBot,com.jagrosh.jmusicbot.playlist,PlaylistLoader.Playlist,15,77,2,4,6,16,6,4,4,3
JMusicBot,com.jagrosh.jmusicbot.playlist,PlaylistLoader.PlaylistLoadError,3,21,0,0,1,7,1,3,1,3
JMusicBot,com.jagrosh.jmusicbot.queue,FairQueue,164,93,15,7,31,18,16,9,8,6
JMusicBot,com.jagrosh.jmusicbot.commands,AdminCommand,38,0,4,0,9,0,4,0,2,0
JMusicBot,com.jagrosh.jmusicbot.commands,MusicCommand,202,0,28,0,36,0,16,0,2,0
JMusicBot,com.jagrosh.jmusicbot.commands,OwnerCommand,12,0,0,0,4,0,1,0,1,0
JMusicBot,com.jagrosh.jmusicbot.commands,DJCommand,72,0,12,0,12,0,9,0,3,0
